task,method,seed,tail_loss,tail_tracking_error,tail_feasibility_residual,tail_frame_error,tail_subspace_error
grassmann_subspace_tracking,EuclideanSGD,1015,0.006179178290997864,0.07210128401324906,0.007910197341779408,0.09328514436579266,0.07210128401324906
grassmann_basis_rotation,RiemannianSGD,1015,1.9680530415365228e-31,6.211216630368188e-09,4.757977944305493e-16,0.7046840696120691,6.211216630368188e-09
grassmann_basis_rotation,ProjectedEuclideanSGD,1015,2.0088328025495996e-31,3.835898072747853e-09,4.283048174227821e-16,0.7046840696120694,3.835898072747853e-09
grassmann_basis_rotation,EuclideanSGD,1015,2.3030751757468662e-32,7.067085336326489e-10,1.2802093332057051e-16,0.7046840696120691,7.067085336326489e-10
simplex_tracking,ProjectedSGD,1016,0.0002035288407461506,0.013377097831382473,7.882583474838611e-17,,
simplex_tracking,ExponentiatedGradient,1016,0.004131044649966007,0.05933207273534511,6.605826996519681e-17,,
simplex_tracking,EuclideanSGD,1016,0.00020910917004427442,0.013624174585722229,0.006067822843466564,,
stiefel_frame_tracking,RiemannianSGD,1016,0.007004580580985238,0.07638619796713847,5.441400072392429e-16,0.07638619796713847,0.07070435205519994
stiefel_frame_tracking,ProjectedEuclideanSGD,1016,0.006989580188633621,0.07631109483240618,5.324368170843675e-16,0.07631109483240618,0.07063098829250086
stiefel_frame_tracking,EuclideanSGD,1016,0.006950343487226158,0.07613095416793363,0.008032487313337102,0.07613095416793363,0.07045563898768517
grassmann_subspace_tracking,RiemannianSGD,1016,0.003659618413758582,0.055042060876279796,5.816148430916957e-16,0.1716556204272301,0.055042060876279796
grassmann_subspace_tracking,ProjectedEuclideanSGD,1016,0.0036524031416795668,0.054992984540908375,5.331626347840198e-16,0.17162114433024667,0.054992984540908375
grassmann_subspace_tracking,EuclideanSGD,1016,0.0036634296514772564,0.05503677491382693,0.00559448561499715,0.17164628753421127,0.05503677491382693
grassmann_basis_rotation,RiemannianSGD,1016,1.3152338090559491e-31,2.0039911315497784e-08,1.9810771789079873e-16,0.704684069612069,2.0039911315497784e-08
grassmann_basis_rotation,ProjectedEuclideanSGD,1016,2.329897361341104e-31,1.9264548966987317e-08,3.656440570420925e-16,0.7046840696120689,1.9264548966987317e-08
grassmann_basis_rotation,EuclideanSGD,1016,2.1484410568058e-32,6.636148761085304e-09,4.13109750821213e-16,0.704684069612069,6.636148761085304e-09
simplex_tracking,ProjectedSGD,1017,0.00019610231689896378,0.01313747083152289,8.382183835919932e-17,,
simplex_tracking,ExponentiatedGradient,1017,0.004589329907029543,0.06210133447441751,7.827072323607353e-17,,
simplex_tracking,EuclideanSGD,1017,0.00020009383991307278,0.013302680004758885,0.005057620670076724,,
stiefel_frame_tracking,RiemannianSGD,1017,0.002651551428633619,0.047033346822208666,6.249345433591888e-16,0.047033346822208666,0.04633517440555474
stiefel_frame_tracking,ProjectedEuclideanSGD,1017,0.0026490080585338783,0.04701434119331882,5.765293542491774e-16,0.04701434119331882,0.04631615106567266
stiefel_frame_tracking,EuclideanSGD,1017,0.002651427404468002,0.04697070922069796,0.006342823320705975,0.04697070922069796,0.046272369504987435
